text,sentiment,clean_text
  I remember those days. I wasn`t a big fan of Wesley but I really felt for you as a youngster dealing with all that. But you WON!,neutral,remember days wasnt big fan wesley really felt youngster dealing
getting nails done!!! how relaxing! benji is only 24 hours away!!!!,positive,getting nails done relaxing benji hours away
" not here for long hun, head hurts",negative,long hun head hurts
At walmart playing hide and seek.,neutral,walmart playing hide seek
 whatever do you mean?,neutral,whatever mean
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,negative,sudden im craving broccoli cheese soup really bad mouth watering envisioning bread bowl head
 That it does  just wish more people would notice it,positive,wish people would notice
 your test works fine for me  tweetdeck is so cool eh?,neutral,test works fine tweetdeck cool eh
"Wish you were here, babe",positive,wish babe
This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn`t get a photo.,negative,morning rode behind guy bird cage containing plastic tyrannosaurus rex attached bicycle couldnt get photo
"I love summer, but I oddly don`t want this school year to end.",positive,love summer oddly dont want school year end
 lolz at your modesty...***kix rox***...now all the gals will be lined up at your door,positive,lolz modestykix roxnow gals lined door
"morning, how is everone? sing to me  You tuck me in, Turn out the light, kept me safe and sound at night. (8)",positive,morning everone sing tuck turn light kept safe sound night
i so can`t be bothered working tomorrow!,positive,cant bothered working tomorrow
 kittens are cute then they grow up n become CATS,positive,kittens cute grow n become cats
 .. Guess ol` Tom has another mission impossible ... some of this is like trying to prove innocence .. I didn`t get hugged,negative,guess ol tom another mission impossible like trying prove innocence didnt get hugged
 Hey I was scared last night at 3:17 because of you... and I had several bad nightmares,negative,hey scared last night several bad nightmares
 gawd. People still remember the preggers comment. Hate you!,negative,gawd people still remember preggers comment hate
oh no my tweetdeck is malfunctioning :O il have web will its fixd,negative,oh tweetdeck malfunctioning il web fixd
 heeeeey! You abandoned me here on Twitter momma dots?,neutral,heeeeey abandoned twitter momma dots
 yeah freakin sucks!!,negative,yeah freakin sucks
Off the a village May Fayre now.  Bag packed ready to bring back home-made goodies.,neutral,village may fayre bag packed ready bring back homemade goodies
#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture,positive,followfriday cuz ive never added anyones followfriday either cuz hes got cool picture
Sooo tell me how I lost followerzzz,neutral,sooo tell lost followerzzz
 - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.,neutral,thanks reply course doesnt really explain googled found explanation
looking for people,neutral,looking people
wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb,positive,wishes would see eyes heart
 Awwww   i`ve got some photos of cute bunnies,positive,ive got photos cute bunnies
long day and i still have to mow the lawn,negative,long day still mow lawn
Shoot. Only 12 miles,neutral,shoot miles
 why has it been so long since i have talked to you let alone seen you?? it makes me sad,negative,long since talked let alone seen makes sad
Happy mothers day mom  ?,positive,happy mothers day mom
I want cookies for breakfast! Luckily I`m an adult and can do that!,positive,want cookies breakfast luckily im adult
Mowing #6. I hate my lawn,negative,mowing hate lawn
" you shouldnt have to reset more than once  if it doesn`t work right the first time, something is up",neutral,shouldnt reset doesnt work right first time something
 yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..,negative,yeah left cause pc cant run client anymore thought would new one
Feeling bad for  profile pic,negative,feeling bad profile pic
CAPONES island in 2 days!!! my summer is just starting...,neutral,capones island days summer starting
movie then sleep! Today was good day  [{H!--D3ff}],positive,movie sleep today good day hdff
Planing on going on a little ride on the mtb on monday  may be in over to the tower...,neutral,planing going little ride mtb monday may tower
**** fiesta at my house in my mouth  hit me up for the password,neutral,fiesta house mouth hit password
the live version is so much better  ? http://blip.fm/~79my3,neutral,live version much better
 There`s no pause button in the game of life.,neutral,theres pause button game life
" that`s black market material right there, my friend!",neutral,thats black market material right friend
is getting married in Vegas in November by an Elvis impersonator am so happy!!!,positive,getting married vegas november elvis impersonator happy
 tried to join the chat but the site would not let me sign in,negative,tried join chat site would let sign
 where is home??,neutral,home
singing songs and filming movies  what i do best,positive,singing songs filming movies best
Their songs make me want to cry..,negative,songs make want cry
While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive,negative,driving u come across aggressive driving behaviour another driver u chase car tell driver drive
The Mediteranian Kitchen...oh well can`t get them all right.,neutral,mediteranian kitchenoh well cant get right
 what`s wrong?,neutral,whats wrong
 Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!,positive,totally awesome seeing rebooted crew nice
"_d thats good to know, and I bet he looks just like you.",positive,thats good know bet looks like
_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!,positive,hahhahah really made laugh loudd ahahahahahahahahah fuunny
i so wish i could get pregnant!!,positive,wish could get pregnant
 im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol,positive,im trying fix doesnt ahi dios mio u good lol
 Hiya! Missed you too! What have you been up to?,negative,hiya missed
out to play,neutral,play
Really sick,negative,really sick
yay  my `only on sundays` maid came!! the house will be clean again!!!,neutral,yay sundays maid came house clean
"Thx, Robban  http://www.sk-gaming.com/match/17905",positive,thx robban
 thanks JK!!!  Love ya to death,positive,thanks jk love ya death
Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.,positive,going al need check one store hope find things im looking
Geeze- I`m just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.,neutral,geeze im wondering wrong people either need go run go sleep tomorrow fun day
So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks,negative,parents busy making feel like realise ive got worse need see doctor sleep sucks
" G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!",positive,gnight jonathan tried stay really cant wait till ur timezone much easier
Prom is so over rated!! Irritated... Going to bed goodnight,negative,prom rated irritated going bed goodnight
"Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz",neutral,look everyone im bad boy im ranked higher meghan mccain
_rain i wanna see her hair  hows everyone?,neutral,rain wan na see hair hows everyone
 Or FTRH -- For The Ride Home,neutral,ftrh ride home
" english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.",negative,english screwed overall percentage x xii probably adm tests happens
 i want chinese food really baaad.,positive,want chinese food really baaad
is downloading songs  http://plurk.com/p/rp8wx,neutral,downloading songs
" I almost said, 'and grammer no exist either' grunt.  But I stopped myself",neutral,almost said grammer exist either grunt stopped
"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure",positive,youre gon na take good care little baby hes gon na strong boy thats sure
 ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend,positive,ha lem know find tho suspect lot complaints peaceful night friend
seeing shane dawson videos,neutral,seeing shane dawson videos
  sad face.,negative,sad face
Aaaaahhhh.... Friday!!!! but.......     Funeral at 5,negative,aaaaahhhh friday funeral
Already misses ,negative,already misses
"_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!",positive,lauralp ok thanks help hope respond sooner later thanks
  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!,positive,commish days atl fam saw updates net website looks awesome
" awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.",negative,awww sucks also finish uni totally mini housewarming yes work around schedule lol
at famous dave`s with my mom. so hungry.,neutral,famous daves mom hungry
 I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! SlÃ¯Â¿Â½n!(bye in irish ) Sorcha xxxx,positive,would vote miley live ireland youll fine good luck slnbye irish sorcha xxxx
"home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt",neutral,home nite sleeping pull bed maggie wishing durden got find apt
"Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.",negative,ohsummer beginsyay fighting crying stress started kidsits hrs since got
I feel so deflated. No more doggy.,negative,feel deflated doggy
 sad about young love coming to an end  They were sooo cute together!,neutral,sad young love coming end sooo cute together
 Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!,negative,omg really sowwy ill p tired morning p lol
"owww, back pain  hm, walmart or no? i could get cupcakes~",negative,back pain hm walmart could get cupcakes
 i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again,neutral,cant believe guys gon na stay one day rio de janeiro
Making my boyfriend look different.  He`s  cute no matter what. <3,positive,making boyfriend look different hes cute matter
 LOL thx,positive,lol thx
is working until 11 tonight  http://plurk.com/p/x2kbv,neutral,working tonight
 well there go my peace corps prospects.,positive,well go peace corps prospects
rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself,neutral,rmbr time torned night sentosa one didnt spit unknown facts abt
" Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic",positive,good idea ill remove old receipts tissue paper nonsense take pic
"whatever will be, will be",neutral,whatever
Wango tango!!! Good night all,neutral,wango tango good night
 i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm,negative,im best financial situation moment im beyond broke money spend soon earn atm
 hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****,neutral,hello totally go biggest shopping center europe go shopping together
Fixing openbox theme a little,neutral,fixing openbox theme little
Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram,neutral,selling laptop cheap anyones interested toshiba gig ram
"If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good",negative,recent experience anything go fear might going indian food good people good
 i wish i wasn`t all  bummed but i kinda am,positive,wish wasnt bummed kinda
 Hey Mitchel when will you be live again? I didn`t get a chance to call you,negative,hey mitchel live didnt get chance call
looking at the sunshine out of my office window,neutral,looking sunshine office window
Back is SORE... should not have done that jump last night,negative,back sore done jump last night
 We are working,neutral,working
'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!,positive,brides la mode pow wow first thing morning past weekends lovely wedding fresh mind pics soon
"Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.",neutral,got paycheck april bonus b deposited day rest got ta wait til mon
nope no way in to stop  just have to put up wiv it,neutral,nope way stop put wiv
I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!,neutral,recommend returning broken duck toy batteis came person giving may get mad trust
" Not so much a substitute as a variation. Ate too much, too. Oof",neutral,much substitute variation ate much oof
"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",positive,beautiful weather u sick baby tanapolis
 Oui mademoiselle. You can barely turn around these days without bumping into one.,neutral,oui mademoiselle barely turn around days without bumping one
Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8,neutral,flickr pics chester zoo danwtmoon posted photo welcome chester zoo jockey
Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family,neutral,woke watched jon kate plus eight tried pretend like still normail family
 your`e a freak,neutral,youre freak
 i dont even know now lenaaa  when you going clothes show?,neutral,dont even know lenaaa going clothes show
_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.,neutral,jane yay buti nagustuhan nyo isang bar lang enclosed ko sa mail test matutunaw hindi next time uli
Memories,neutral,memories
 Yep. Nothing to worry about.,positive,yep nothing worry
back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.,negative,back work tomorrow whose idea go back saturday oh wait would mine fail
" Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes",neutral,going start small like slowly higher stakes
 Make a videoblog!,neutral,make videoblog
reading Evermore by Lynn Viehl.,neutral,reading evermore lynn viehl
Wow what a storm we just had!!! Now no power,positive,wow storm power
getting my phone back this week  yeeeewww,positive,getting phone back week yeeeewww
back from school  daily show was amazing  gonna watch it again later i think xD,positive,back school daily show amazing gon na watch later think xd
_breez Yer please do! Have a good day!,positive,breez yer please good day
#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,neutral,musicmonday epic song lights sounds yellowcard
 hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!,positive,hot cuppa coffee made milk fortified monins irish coffee syrup bliss
right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail,positive,right im peeps hope fixes twitter mobile tweet race mtwitter days fail
"My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa",neutral,anticipated meet tapan parikh apparently wont pass nairobi head straight mombasa
watching Army Wives and it always makes me cry,negative,watching army wives always makes cry
productive day 1,positive,productive day
Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,neutral,rest peace adam glenn epps gone never forgotten week loud da air ya
 gotta love the summer,positive,got ta love summer
Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class,neutral,marking going ok far bs far relieved looks like future programmers class
" alas no, it`s just a normal night  monday is quiz night",neutral,alas normal night monday quiz night
Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,neutral,anyone go photographing today managed get macro shots flowers blooming
_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!,positive,buckley good morning sunny londonsounds like oxymoron happens true today hurrah
 Cool. That`d be fantastic!,positive,cool thatd fantastic
live on stickam.com/itstyleryo COME CHAT!,neutral,live stickamcomitstyleryo come chat
   But  is right: This is like the Cape Breton coal mines but ++. No lessons learned.,neutral,right like cape breton coal mines lessons learned
" Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.",negative,yes im quite rusty im hoping get back tune skills tim plays guitar threaten duets
Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!,positive,hey everybody hah day cool got back walk dog omgosh send link please
 srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work,negative,srry im interesting right stayed til cause tummy hurt im pooped work
 me because I might not have enough money for college!!!,negative,might enough money college
lol! woow okay its not that big of a deal,neutral,lol woow okay big deal
I love how when I leave my laptop on my bed it creates a nice toasty spot,positive,love leave laptop bed creates nice toasty spot
 I mean someone hit a dog with a car. It was just laying there,neutral,mean someone hit dog car laying
 Does it start tomorrow?  I was going to book Sam on that and forgot,negative,start tomorrow going book sam forgot
" salt and vinegar, cheese and onion make your breathe smell lol  ****",negative,salt vinegar cheese onion make breathe smell lol
 You`re welcome. There!  I added you already!,positive,youre welcome added already
"_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...",neutral,rose mornin missed dance time guess dance extra hard tomorrow
" Sorry to hear about your dude probs, what is it that`s too much?",negative,sorry hear dude probs thats much
Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.,negative,discovered numpy arrays hold values type useful manipulating arrays numbers uncertainties
"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today",negative,maybe take drinking feel massive hangover still yself today
just downloaded the tweet deck....look at my and my saviness,neutral,downloaded tweet decklook saviness
TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,positive,today friday really hope read messages reply soon could reach phone go work
 whatever i know you like it.  HAHAHHAH!,positive,whatever know like hahahhah
oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****,negative,oh fun weekend friends gone mother made family weekend
Good morning twitterland. Happy Monday,positive,good morning twitterland happy monday
Writing reports....,neutral,writing reports
thanks timmy.  turns out he has strep and a high fever.,positive,thanks timmy turns strep high fever
" oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days",positive,oh nice something nice next week going madrid next weekend days
keeping it chilled.,positive,keeping chilled
what a beautiful day not to got to my first class,positive,beautiful day got first class
 Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?,positive,fabulous didnt get pic gmail acting fool sometimes u dm
" yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!",neutral,yeah terrible cockatoos hardest live emotional good thing found though
_ that sucks!,negative,sucks
 yes it does,positive,yes
_datti Thanks sankar for ur wishes,positive,datti thanks sankar ur wishes
"I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.",positive,love waking thinking weekday realizing weekend
" sorry bout the cat,",negative,sorry bout cat
 You`re the only person to have joined in  #penilewords,neutral,youre person joined penilewords
Up and washed  I`m clothing myself as I type xD WOOOO,positive,washed im clothing type xd woooo
 miss u too. I`m still at a club...u know...west coast ****!,negative,miss u im still clubu knowwest coast
 love love love pot psycology. My Friday night treat,positive,love love love pot psycology friday night treat
Happy Star Wars Day  May the fourth be with you!,positive,happy star wars day may fourth
 Playing with lighters fire matches and grass,neutral,playing lighters fire matches grass
_art That would be the one.  It`s awesome sauce.,positive,art would one awesome sauce
"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.",neutral,bucky ferret officially insulinoma daily prednisone interview pdoc today go back monday testing
" I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",positive,ive never prague money itll first cities visit
coffee time,neutral,coffee time
" He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.",neutral,creepy first really grow like cried like baby tosh died
"_ really!? that son of a ****, screw him, ill talk to on msn later k  xox",negative,really son screw ill talk msn later k xox
" We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!",positive,didntbut wait good twenty minutes one good night though
 I always hope they will die out but then i see the the old ones and it makes me sad,negative,always hope die see old ones makes sad
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral,thanks alen seems submit community news error must prove
 don`t follow me. You will ruin my twitter experience,negative,dont follow ruin twitter experience
Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,negative,blah car repairs almost dollars shopping around better deal
Weetabix and Choco milk  Yum!,positive,weetabix choco milk yum
I`m sad to have lost another person close to me to cancer,negative,im sad lost another person close cancer
_me Thanks! Kinda bittersweet though,neutral,thanks kinda bittersweet though
_Nutbar Good morning  how are you? #TwitterTakeover,positive,nutbar good morning twittertakeover
First time to Twitter..,neutral,first time twitter
Captain Jack is back,neutral,captain jack back
"_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..",negative,la bens dreams make saddddddd want togetherrr swear gets bawlinggg help
"Internet, you were so fast! And now you are so slow! Where did the fast connection go?",neutral,internet fast slow fast connection go
30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!,negative,year old barbie dolls still rock itthat girl hot ken aint bad either memories
this weather makes my fingers numb / still waiting,negative,weather makes fingers numb still waiting
 LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!,positive,lol yeah ima mama thanks happy mamas day lakers day love
DONE--IT`S SUMMER!!!,neutral,doneits summer
 I was just at Geno`s 3hrs ago.  Would have went to Pats but the Neon Lights got me lol.  Had drinks at South Philly Bar too,neutral,genos hrs ago would went pats neon lights got lol drinks south philly bar
http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha,positive,fry bread good gave little pinch lettuce ha ha
 Its WoW! effect  Thanks for the update.,positive,wow effect thanks update
"got up at 8 today, and also misses his friend ",negative,got today also misses friend
catching up on my reading... twitter n BF break,neutral,catching reading twitter n bf break
" No, that`s not right - I remember now.  You were in a fearless tweet - we were both seen as fearless.",neutral,thats right remember fearless tweet seen fearless
  my thoughts dwell on a certain person,neutral,thoughts dwell certain person
Transition time is over; tonight I work night shift. I woke up at 1330.,neutral,transition time tonight work night shift woke
Gonna go to work with my honey today!!!! So exciting!!!,positive,gon na go work honey today exciting
_ aww thats too bad you lost it though,negative,aww thats bad lost though
 this my new more private acc. Will only use it for close twitter friends,neutral,new private acc use close twitter friends
I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.,negative,hate going online looking balance bank always lot lower need
" actually, the web works fine. tweetdeck seems to be the culprit  sadness! it`s done this at two diff. locations",neutral,actually web works fine tweetdeck seems culprit sadness done two diff locations
_x How did your Geo ISU go? I swear I just had the worse day ever..,negative,x geo isu go swear worse day ever
"And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!",negative,could empire dirt im ae dad im freezing fully shivering every else warm fones allowed ffs
 tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar,neutral,tell think pride prejudice zombies youre hyped sugar
"_tdh Can you install ruby, gems and rails on keep? Please?",neutral,tdh install ruby gems rails keep please
Out for ultimate training. looking forward to the sunset!,positive,ultimate training looking forward sunset
going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,positive,going work great days atleast get commin wahooooooo
 Good to see you back. Sorry that happened to you,neutral,good see back sorry happened
My 1st Mothers Day Tomorrow,neutral,st mothers day tomorrow
"'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers",positive,said darling happened fall asleep carry home cuz know wasnt goodnight twitterererers
" I just about clear my whole office and no sign of it  next place is truck, I have yet to fully clean under back seat lol!",neutral,clear whole office sign next place truck yet fully clean back seat lol
 It`s not gonna storm!  because I said so!,neutral,gon na storm said
 I broke my ipod,negative,broke ipod
_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted,negative,banks something must wrong found july harlsil books wanted
 Haha and you should! State pride is important,positive,haha state pride important
" Ugh, did you just say your friend might have swine flu? OMG, why?",negative,ugh say friend might swine flu omg
" haha no problem, it`s fun isn`****",positive,haha problem fun
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",positive,finally got wash hair feel much better got ta dry effffffort
finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!,positive,finally feel back swing things work getting married last week sigh relief wedding planning
 that sucks  booo.,negative,sucks booo
Hates untalented **** being mean to my talented friends,neutral,hates untalented mean talented friends
looks like we`re rained out for weekend climbing,negative,looks like rained weekend climbing
Is Google Maps not working for anyone else?,neutral,google maps working anyone else
 oh ****!!,negative,oh
 i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours,negative,dont really trust judgements vouches xo jk ill think becoming friend
 Jesus heals,positive,jesus heals
 It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything!  #BillyIdol,neutral,surprising much billy idol turns tweets monitor constantly im obsessed anything billyidol
 werd. that`s very true,neutral,werd thats true
 Your birthday? WELL Happy birthday,positive,birthday well happy birthday
Without wings again,neutral,without wings
 did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!,positive,tweet thought remembered seeing one cant see glad teatree ok
Night twitterland x I have to be up in five hours  sigh,neutral,night twitterland x five hours sigh
 Happy birthday in 2 hours and 54 minuets  Haha,positive,happy birthday hours minuets haha
"lunch break`s over, going back to work....",neutral,lunch breaks going back work
Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!,positive,glad see typical bank holiday weather wise going much today yeah right
 Hayley Williams is pretty much amazzing,positive,hayley williams pretty much amazzing
 the app said i need 12.1.5 or later,neutral,app said need later
 --Nothing,neutral,nothing
is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!,neutral,php website upgrade hell bank holiday hows planning
 not really having a good night... missing my little girl...,negative,really good night missing little girl
  miss you captain,negative,miss captain
Im sending this to my mother!  http://bit.ly/1aa1RF,neutral,im sending mother
" OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx",negative,oi mocking fact dont cry tv things feels badxxx
 i am public and can`t get anyone to follow me,neutral,public cant get anyone follow
" Until  brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.",neutral,brings back everyone button access pt link bottom settings
 Boring? Who you been talking to? Lol not me  ( no ****),neutral,boring talking lol
"  I know, right? I guess the oldest doesn`t hold rank on field trips anymore.",neutral,know right guess oldest doesnt hold rank field trips anymore
"just signed up..so, hello twitter world, here I am",neutral,signed upso hello twitter world
 I won`t be getting any ROTF toys `till MUCH later.  Tell me if anybody isn`t/is worth getting.,neutral,wont getting rotf toys till much later tell anybody isntis worth getting
 heading over to xbox  will go shopping 2morrow,neutral,heading xbox go shopping morrow
 I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking,neutral,saw calling answer im second hour phone convo mom wont stop talking
is excited!  http://plurk.com/p/stk04,positive,excited
 hmmm really??? that`s weird idk about that one  sowwy,negative,hmmm really thats weird idk one sowwy
 oh that looks boring  and even more boring you have an exam on a saturday,negative,oh looks boring even boring exam saturday
Practice was a beast today. Not going to see Julian tonight,neutral,practice beast today going see julian tonight
"Getting somewhere with my first 'real' KiokuDB and catalyst app, yay",neutral,getting somewhere first real kiokudb catalyst app yay
 Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,positive,thanks though trying positive wine may helping lol wish could make gigs
 i think my niece got me sickee  lame.,negative,think niece got sickee lame
Rise and shine  Time to get prettifide.,positive,rise shine time get prettifide
" I tried sooooo hard to work from home today, but failed  Not my fault though.",negative,tried sooooo hard work home today failed fault though
 Gosh I`ve a stinky old headache. Maybe I should have lunchfast,negative,gosh ive stinky old headache maybe lunchfast
Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them,neutral,glenna bored glad beautiful day macy went swimming kris played golf sat home waiting
bout 2 have 1 more drink then imma head in da house,neutral,bout drink imma head da house
"i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back",neutral,get sucked true life steveo documentary intense love nice see people get lives back
I love my life  Ni night twitter!<3,positive,love life ni night twitter
 We knew what what you meant!,neutral,knew meant
Succesfully following Tayla!!,positive,succesfully following tayla
my new phrase is `you never doubt mo williams`   six game win streak!,neutral,new phrase never doubt mo williams six game win streak
 Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,positive,fun tomorrow night think fun bar art gallery wish could
 4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!,neutral,th please maybe shell get attempts win tomorrow
trying to learn to tweet!!  it`s all good I hope..,positive,trying learn tweet good hope
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.",negative,bleargh never clean much house want work matter early wake today sink laundry
"Great, social network sites are still growing",positive,great social network sites still growing
 If I got paid by the hour I could retire by now  do you have xBox live? I am thinking Rock Band,neutral,got paid hour could retire xbox live thinking rock band
"I should learn not to walk all day, and then sprint through sprinklers without stretching.",neutral,learn walk day sprint sprinklers without stretching
 So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!,positive,soi half asleep wrote previous message greatest friends haha
 I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway  lol,neutral,im still trying see star trek ill woman go alone bf pretty much worthless anyway lol
"  Laws change in the 70s or 80s.   I could really push it bcause gran from Bathgate, but she was US citizen b4 dad born.",neutral,laws change could really push bcause gran bathgate us citizen b dad born
some of my new followers are pretty cool tweeps; check `em out.,positive,new followers pretty cool tweeps check em
"no work today! went shopping, and now relaxing  &learning for the toefl",positive,work today went shopping relaxing learning toefl
Is off to watch arsenal v chelsea today,neutral,watch arsenal v chelsea today
He`s getting ear tubes in about an hour so no food,neutral,hes getting ear tubes hour food
 yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha,negative,yay asap lol awwh miss friday night happy hours even luna del sea boy hahahaha
left the bases loaded...,neutral,left bases loaded
 Cowboy westerns...haven`t seen those in a while. good luck,positive,cowboy westernshavent seen good luck
 It`s already over? ****!,negative,already
 I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now,neutral,trying back documents wasnt playing along taking forever back
Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.,neutral,test shooting later afternoon mention holland indie wine festival week tongue red
